voice-gateway-cpp started host=127.0.0.1 port=18080 codec=pcmu ptime_ms=20
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46599 ts=2673629801 ssrc=3392613940 packets_in=3 packets_out=3
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46600 ts=2673629961 ssrc=3392613940 packets_in=4 packets_out=4
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46601 ts=2673630121 ssrc=3392613940 packets_in=5 packets_out=5
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46602 ts=2673630281 ssrc=3392613940 packets_in=6 packets_out=6
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46603 ts=2673630441 ssrc=3392613940 packets_in=7 packets_out=7
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46604 ts=2673630601 ssrc=3392613940 packets_in=8 packets_out=8
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46605 ts=2673630761 ssrc=3392613940 packets_in=9 packets_out=9
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46606 ts=2673630921 ssrc=3392613940 packets_in=10 packets_out=10
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46607 ts=2673631081 ssrc=3392613940 packets_in=11 packets_out=11
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46608 ts=2673631241 ssrc=3392613940 packets_in=12 packets_out=12
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46609 ts=2673631401 ssrc=3392613940 packets_in=13 packets_out=13
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46610 ts=2673631561 ssrc=3392613940 packets_in=14 packets_out=14
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46611 ts=2673631721 ssrc=3392613940 packets_in=15 packets_out=15
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46612 ts=2673631881 ssrc=3392613940 packets_in=16 packets_out=16
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46613 ts=2673632041 ssrc=3392613940 packets_in=17 packets_out=17
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46614 ts=2673632201 ssrc=3392613940 packets_in=18 packets_out=18
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46615 ts=2673632361 ssrc=3392613940 packets_in=19 packets_out=19
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46616 ts=2673632521 ssrc=3392613940 packets_in=20 packets_out=20
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46617 ts=2673632681 ssrc=3392613940 packets_in=21 packets_out=21
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46618 ts=2673632841 ssrc=3392613940 packets_in=22 packets_out=22
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46619 ts=2673633001 ssrc=3392613940 packets_in=23 packets_out=23
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46620 ts=2673633161 ssrc=3392613940 packets_in=24 packets_out=24
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46621 ts=2673633321 ssrc=3392613940 packets_in=25 packets_out=25
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46622 ts=2673633481 ssrc=3392613940 packets_in=26 packets_out=26
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46623 ts=2673633641 ssrc=3392613940 packets_in=27 packets_out=27
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46624 ts=2673633801 ssrc=3392613940 packets_in=28 packets_out=28
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46625 ts=2673633961 ssrc=3392613940 packets_in=29 packets_out=29
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46626 ts=2673634121 ssrc=3392613940 packets_in=30 packets_out=30
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46627 ts=2673634281 ssrc=3392613940 packets_in=31 packets_out=31
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46628 ts=2673634441 ssrc=3392613940 packets_in=32 packets_out=32
event=rtp_tx session_id=day5-1772468081.2-32003 seq=46629 ts=2673634601 ssrc=3392613940 packets_in=33 packets_out=33
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27172 ts=2492913621 ssrc=304584778 packets_in=1 packets_out=1
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27173 ts=2492913781 ssrc=304584778 packets_in=2 packets_out=2
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27174 ts=2492913941 ssrc=304584778 packets_in=3 packets_out=3
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27175 ts=2492914101 ssrc=304584778 packets_in=4 packets_out=4
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27176 ts=2492914261 ssrc=304584778 packets_in=5 packets_out=5
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27177 ts=2492914421 ssrc=304584778 packets_in=6 packets_out=6
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27178 ts=2492914581 ssrc=304584778 packets_in=7 packets_out=7
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27179 ts=2492914741 ssrc=304584778 packets_in=8 packets_out=8
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27180 ts=2492914901 ssrc=304584778 packets_in=9 packets_out=9
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27181 ts=2492915061 ssrc=304584778 packets_in=10 packets_out=10
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27182 ts=2492915221 ssrc=304584778 packets_in=11 packets_out=11
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27183 ts=2492915381 ssrc=304584778 packets_in=12 packets_out=12
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27184 ts=2492915541 ssrc=304584778 packets_in=13 packets_out=13
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27185 ts=2492915701 ssrc=304584778 packets_in=14 packets_out=14
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27186 ts=2492915861 ssrc=304584778 packets_in=15 packets_out=15
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27187 ts=2492916021 ssrc=304584778 packets_in=16 packets_out=16
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27188 ts=2492916181 ssrc=304584778 packets_in=17 packets_out=17
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27189 ts=2492916341 ssrc=304584778 packets_in=18 packets_out=18
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27190 ts=2492916501 ssrc=304584778 packets_in=19 packets_out=19
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27191 ts=2492916661 ssrc=304584778 packets_in=20 packets_out=20
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27192 ts=2492916821 ssrc=304584778 packets_in=21 packets_out=21
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27193 ts=2492916981 ssrc=304584778 packets_in=22 packets_out=22
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27194 ts=2492917141 ssrc=304584778 packets_in=23 packets_out=23
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27195 ts=2492917301 ssrc=304584778 packets_in=24 packets_out=24
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27196 ts=2492917461 ssrc=304584778 packets_in=25 packets_out=25
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27197 ts=2492917621 ssrc=304584778 packets_in=26 packets_out=26
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27198 ts=2492917781 ssrc=304584778 packets_in=27 packets_out=27
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27199 ts=2492917941 ssrc=304584778 packets_in=28 packets_out=28
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27200 ts=2492918101 ssrc=304584778 packets_in=29 packets_out=29
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27201 ts=2492918261 ssrc=304584778 packets_in=30 packets_out=30
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27202 ts=2492918421 ssrc=304584778 packets_in=31 packets_out=31
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27203 ts=2492918581 ssrc=304584778 packets_in=32 packets_out=32
event=rtp_tx session_id=day5-1772468082.2-32004 seq=27204 ts=2492918741 ssrc=304584778 packets_in=33 packets_out=33
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19307 ts=572693597 ssrc=3445552218 packets_in=1 packets_out=1
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19308 ts=572693757 ssrc=3445552218 packets_in=2 packets_out=2
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19309 ts=572693917 ssrc=3445552218 packets_in=3 packets_out=3
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19310 ts=572694077 ssrc=3445552218 packets_in=4 packets_out=4
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19311 ts=572694237 ssrc=3445552218 packets_in=5 packets_out=5
